Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended",Phase 2 trial of R21/Matrix-M safety and immunogenicity in Thai adults (MAL22001),University of Oxford; Mahidol Oxford Tropical Medicine Research Unit,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Completed,Phase II,Thailand,2023,No,NCT05252845,https://clinicaltrials.gov/ct2/show/NCT05252845
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended",Safety and immunogenicity of R21/Matrix-M in African children living with HIV,University of Oxford; Medical Research Council/Uganda Virus Research Institute (MRC UVRI),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Ongoing,Phase Ib,Uganda,2024 (expected),No,NCT05385510,https://clinicaltrials.gov/study/NCT05385510
R21/Matrix M1;ChAd63-MVA ME-TRAP,Active;Inactive,"WHO Prequalified,WHO recommended;None","Phase IIb CHMI, R21/Matrix-M and ChAd63-MVA ME-TRAP in Kenyan adults (VAC074)",University of Oxford; Kenya Medical Research Institute (KEMRI); European & Developing Countries Clinical Trials Partnership (EDCTP),Phase III;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;ME-TRAP,"Recombinant subunit,Virus-like particle;Recombinant viral vector",Matrix M1;None,Intramuscular,Completed,Phase IIb,Kenya,2023,Yes,NCT03947190; PACTR202108505632810,https://clinicaltrials.gov/ct2/show/NCT03947190
R21/Matrix M1;R21/Matrix M1 + ChAd63-MVA ME-TRAP,Active;Inactive,None;None,Phase I/IIa sporozoite challenge study of R21 alone at different doses and R21 + ChAd63-MVA ME-TRAP in healthy malaria-naïve volunteers (VAC065),University of Oxford,Phase III;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;ME-TRAP,"Recombinant subunit,Virus-like particle;Recombinant viral vector",Matrix M1;Matrix M1,Intramuscular,Completed,Phase I/IIa,United Kingdom,2017,Yes,NCT02905019; EUCTR2016-001265-92-GB,https://clinicaltrials.gov/ct2/show/NCT02905019; https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2016-001265-92-GB
rCSP/AP10-602,Active,,"Phase I challenge study to evaluate safety, immunogenicity, and efficacy of a recombinant sporozoite protein (rCSP) adjuvanted with AP 10-602 (GLA-LSQ), in healthy adults",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,GLA-LSQ,Intramuscular,Completed,Phase I,United States,2022,Yes,NCT03589794,https://clinicaltrials.gov/ct2/show/NCT03589794
Rh5.1/AS01B,Active,,Phase I/IIa multi-centre dose escalation CHMI trial of Rh5 in health adults in the UK,University of Oxford,Phase II,P. falciparum,Blood stage,PfRh5,Recombinant subunit,AS01B,Intramuscular,Completed,Phase IIa,United Kingdom,2019,Yes,NCT02927145,https://clinicaltrials.gov/ct2/show/NCT02927145
Rh5.1/Matrix M1,Active,,Safety and immunogenicity of Rh5.1/Matrix-M in healthy adults and infants in Tanzania,University of Oxford; Ifakara Health Institute; European and Developing Countries Clinical Trials Partnership (EDCTP),Phase II,P. falciparum,Blood stage,PfRh5,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase Ib,Tanzania,2023 (expected),No,NCT04318002,https://clinicaltrials.gov/ct2/show/NCT04318002
Rh5.1/Matrix M1,Active,,Safety and immunogenicity of Rh5.1/Matrix M in health adult volunteers in different doses,University of Oxford,Phase II,P. falciparum,Blood stage,PfRh5,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase I,United Kingdom,2024 (expected),No,ISRCTN95289709,https://www.isrctn.com/ISRCTN95289709
Rh5.1/Matrix M1 + Rh5.2-VLP/Matrix M1;Rh5.1/Matrix M1;Rh5.2-VLP/Matrix M1,Active;Active;Active,None;None;None,"Safety, immunogenicity and efficacy of Rh5.2-VLP/Matrix M and Rh5.1/Matrix M in various regimens",University of Oxford,Phase II;Phase II;Phase II,P. falciparum;P. falciparum;P. falciparum,Blood stage;Blood stage;Blood stage,PfRh5;PfRh5;PfRh5,"Recombinant subunit,Virus-like particle;Recombinant subunit;Recombinant subunit,Virus-like particle",Matrix M1;Matrix M1;Matrix M1,Intrmuscular;Intramuscular;Intramuscular,Ongoing,Phase I/IIa;Phase I/IIa;Phase I/IIa,United Kingdom,2025 (expected),Yes,NCT05978037,https://clinicaltrials.gov/study/NCT05978037
Rh5.1/Matrix M1;Rh5.2-VLP/Matrix M1,Active;Active,None;None,"Safety, immunogenicity, and efficacy of blood stage vaccine candidate Rh5.1 Matrix-MTM and Rh5.2-VLP Matrix MTM in children 5-17 months in Burkina Faso",University of Oxford; Institut de Recherche en Sciences de la Sante,Phase II;Phase II,P. falciparum;P. falciparum,Blood stage;Blood stage,PfRh5;PfRh5,Recombinant subunit;Virus-like particle,Matrix M1;Matrix M1,Intramuscular;Intramuscular,Ongoing,Phase I/IIb;Phase I/IIb,Burkina Faso,2024 (expected),No,NCT05790889,https://clinicaltrials.gov/study/NCT05790889
Rh5.2-VLP/Matrix M1 + R21/Matrix M1;Rh5.2-VLP/Matrix M1;R21/Matrix M1,Active;Active;Active,"None;None;WHO Prequalified,WHO recommended",Safety and immunogenicity of blood stage candidate Rh5.2 VLP/Matrix M and pre-erythrocytic stage vaccine R21/Matrix M in adults and infants in The Gambia,University of Oxford,Phase I;Phase II;Phase III,P. falciparum;P. falciparum;P. falciparum,"Blood stage,Pre-erythrocytic stage;Blood stage;Pre-erythrocytic stage","PfRh5,PfCSP;PfRh5;PfCSP","Virus-like particle,Recombinant subunit;Virus-like particle;Recombinant subunit,Virus-like particle",Matrix M1;Matrix M1;Matrix M1,Intrmuscular;Intramuscular;Intramuscular,Ongoing,Phase Ib;Phase Ib;Phase Ib,The Gambia,2025 (expected),No,NCT05357560,https://clinicaltrials.gov/study/NCT05357560
"RTS,S/AS01B",Inactive,,"Efficacy, safety and immunogenicity of RTS,S/AS01B in sporozoite challenge in healthy malaria-naive adults",GlaxoSmith Kline (GSK); Walter Reed Army Institute of Research (WRAIR); PATH,Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01B,Intramuscular,Completed,Phase II,United States,2014,Yes,NCT01857869,https://clinicaltrials.gov/study/NCT01857869
"RTS,S/AS01B + ChAd63-MVA ME-TRAP",Inactive,,"Phase I/IIa sporozoite challenge study of RTS,S/AS01B + ChAd63 and MVA encoding ME-TRAP and RTS,S/A01B alone (VAC055)",University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,"PfCSP,ME-TRAP","Recombinant subunit,Virus-like particle,Recombinant viral vector",AS01B,Intramuscular,Completed,Phase I/IIa,United Kingdom,2014,Yes,EUCTR2013-000393-30-GB,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2013-000393-30-GB
"RTS,S/AS01B + ChAd63-MVA ME-TRAP;RTS,S/AS01B",Inactive;Inactive,None;None,"ChAd63 ME-TRAP and MVA ME-TRAP delivered with RTS,S/AS01B (at full standard or fractional 3rd dose), and of RTS,S/AS01B alone (at full standard or fractional 3rd dose) (VAC059)",University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,"PfCSP,ME-TRAP;PfCSP","Recombinant subunit,Virus-like particle,Recombinant viral vector;Recombinant subunit,Virus-like particle",AS01B;AS01B,Intramuscular;Intramuscular,Completed,Phase IIa;Phase IIa,United Kingdom,2015,Yes,NCT02252640; EUCTR2014-001301-40-GB,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2014-001301-40-GB
"RTS,S/AS01B + ChAd63-MVA ME-TRAP;RTS,S/AS01B",Inactive;Inactive,None;None,"Sporozoite challenge study to assess safety and protective efficacy of combination regimen of RTS,S/AS01B and ChAd63 and MVA encoding ME-TRAP",University of Oxford,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,"PfCSP,ME-TRAP;PfCSP","Recombinant subunit,Virus-like particle,Recombinant viral vector;Recombinant subunit,Virus-like particle",AS01B;AS01B,Intramuscular;Intramuscular,Completed,Phase IIa;Phase IIa ,United Kingdom,2014,Yes,NCT01883609,https://clinicaltrials.gov/study/NCT01883609
"RTS,S/AS01B;RTS,S/AS02A",Inactive;Inactive,None;None,"Phase II adjuvant justification study of RTS,S/AS01B and RTS,S/AS02A in malaria-naive adults aged 18 to 45 years (Malaria-048)",GlaxoSmithKline (GSK),Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS01B;AS02A,Intramuscular,Completed,Phase II,Belgium,2007,No,EUCTR2006-002095-18-BE,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2006-002095-18-BE
"RTS,S/AS01B;RTS,S/AS02A",Inactive;Inactive,None;None,"Adjuvant justification study of RTS,S with AS02A and AS01B",GlaxoSmith Kline (GSK),Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS01B;AS02A,Intramuscular;Intramuscular,Completed,Phase II;Phase II,Belgium,2007,No,NCT00443131,https://clinicaltrials.gov/study/NCT00443131
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Post-implementation safety study,GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase IV,Ghana;Kenya;Malawi,2025 (expected),No,NCT03855995,https://clinicaltrials.gov/ct2/show/NCT03855995
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Epidemiology of malaria transmission intensity in sub-Saharan Africa,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase IV,Burkina Faso;Ghana;Kenya;Malawi;Senegal;Tanzania,2024 (expected),No,NCT02251704,https://clinicaltrials.gov/ct2/show/NCT02251704
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Fractional booster dose of GSK candidate malaria vaccine,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,United States,2020,Yes,NCT03824236,https://clinicaltrials.gov/ct2/show/NCT03824236
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Efficacy of RTS,S/AS01E in children aged 5 to 17 months in Tanzania and Kenya",GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya;Tanzania,2008,No,NCT00380393,https://clinicaltrials.gov/ct2/show/NCT00380393
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Efficacy of GSK Biologicals' candidate vaccine 257049 against malaria disease in infants and children in Africa,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase III,Burkina Faso;Gabon;Ghana;Kenya;Malawi;Mozambique;Tanzania,2014,No,NCT00866619,https://clinicaltrials.gov/ct2/show/NCT00866619
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Extended follow up of phase 2b vaccine trial with RTS,S/AS01E in Kilifi, Kenya (MAL059)",GlaxoSmithKline (GSK); Kenya Medical Research Institute (KEMRI),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya,2016,No,NCT00872963,https://clinicaltrials.gov/ct2/show/NCT00872963
