TrialId,Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
92,PfSPZ Vaccine,Active,,Dose escalation study of PfSPZ Vaccine in healthy African adults in Mali,"US National Institute of Allergy and Infectious Diseases (NIAID); Sanaria; Malaria Research Training Center, Mali",Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Mali,2018,Yes,NCT02627456,https://clinicaltrials.gov/ct2/show/NCT02627456
93,PfSPZ Vaccine,Active,,Dose escalation study and phase 1 of PfSPZ Vaccine in malaria-experienced adults in Burkina Faso,US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Burkina Faso,2018,No,NCT02663700,https://clinicaltrials.gov/ct2/show/NCT02663700
94,PfSPZ Vaccine,Active,,PfSPZ Vaccine by direct venous inoculation  to healthy children and infants 5 months through 9 years of age in western Kenya: age de-escalation and dose escalation,Sanaria; Kenya Medical Research Institute; Centers for Disease Control and Prevention; US National Institutes of Health (NIH); University of Maryland,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I/II,Kenya,2018,No,NCT02687373,https://clinicaltrials.gov/ct2/show/NCT02687373
95,PfSPZ Vaccine,Active,,"Dose and schedule optimization of PfSPZ Vaccine CHMI in malaria-naïve, healthy adult volunteers in Germany",Sanaria; University of Tubingen; German Federal Ministry of Education and Research; German Center for Infection Research,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Germany,2018,Yes,NCT02704533,https://clinicaltrials.gov/ct2/show/NCT02704533
96,PfSPZ Vaccine,Active,,Two regimens of PfSPZ Vaccine during natural transmission season in healthy African adults in Mali,"US National Institute of Allergy and Infectious Diseases (NIAID); Sanaria; Malaria Research and Training Center, Bamako, Mali",Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Mali,2020,No,NCT03510481,https://clinicaltrials.gov/ct2/show/NCT03510481
97,PfSPZ Vaccine,Active,,PfSPZ Vaccine in 1-12 year-old Gabonese children naturally exposed to malaria parasites,Sanaria; Centre de Recherches Médicales de Lambaréné (CERMEL); German Center for Infection Research,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase II,Gabon,2021,No,NCT03521973,https://clinicaltrials.gov/ct2/show/NCT03521973
98,PfSPZ Vaccine,Active,,Regimen optimization study of PfSPZ Vaccine in Equatoguinean Adults,Sanaria; Ifakara Health Institute; Swiss Tropical and Public Health Institute (STPH); Government of Equatorial Guinea; Noble Oil Services; Marathon Oil Corporation; Atlantic Methanol Production Company,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Equatorial Guinea,2019,Yes,NCT03590340,https://clinicaltrials.gov/ct2/show/NCT03590340
99,PfSPZ Vaccine,Active,,PfSPZ Vaccine during malaria transmission season in healthy African adult women of childbearing potential in Mali,"US National Institute of Allergy and Infectious Diseases (NIAID); Malaria Research and Training Center, Bamako, Mali; University of Science Techniques and Technologies of Bamako; Sanaria",Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Ongoing,Phase II,Mali,2022 (expected),No,NCT03989102,https://clinicaltrials.gov/ct2/show/NCT03989102
100,PfSPZ Vaccine,Active,,Phase 2 of PfSPZ Vaccine in children in Mali,"Sanaria; Malaria Research and Training Center, Bamako, Mali; University of the Sciences, Techniques and Technologies of Bamako; US National Institutes of Health (NIH)",Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Ongoing,Phase II,Mali,2023 (expected),No,NCT04940130,https://clinicaltrials.gov/ct2/show/NCT04940130
101,PfSPZ Vaccine,Active,,"Phase 1 of PfSPZ Vaccine in healthy, malaria-naïve, adults, heterologous CHMI",Sanaria; Fred Hutchinson Cancer Research Center,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Ongoing,Phase I,United States,2022,Yes,NCT04966871,https://clinicaltrials.gov/ct2/show/NCT04966871
102,PfSPZ-CVac,Active,,PfSPZ-CVac regimen in healthy malaria-naïve adults in Germany,University of Tubingen,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Germany,2020,Yes,EUCTR2018-004523-36-DE; DRKS00017462,"https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2018-004523-36-DE;
https://trialsearch.who.int/Trial2.aspx?TrialID=DRKS00017462"
103,PfSPZ-CVac;PfSPZ Vaccine,Active;Active,None;None,"Age escalation / de-escalation study of PfSPZ Vaccine in Equatoguinean adults, children and infants vs PfSPZ-CVac, CHMI","Sanaria; Ifakara Health Institute; Swiss Tropical and Public Health Institute (STPH); Government of Equatorial Guinea; La Paz Medical Center, Malado, Equatorial Guinea; Marathon oil Corporation; Noble Oil Services",Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,Whole sporozoite;Whole Sporozoite,Whole parasite;Whole parasite,None;None,Intradermal,Completed,Phase I,Equatorial Guinea,2018,Yes,NCT02859350,https://clinicaltrials.gov/ct2/show/NCT02859350
104,PfSPZ-CVac;PfSPZ Vaccine,Active;Active,None;None,Phase 2 of PfSPZ Vaccine and PfSPZ-CVac in healthy Indonesian adults,"Sanaria; Eijkman Oxford Clinical Research Unit, Indonesia; Indonesia University",Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,Whole sporozoite;Whole Sporozoite,Whole parasite;Whole parasite,None;None,Intravenous,Ongoing,Phase II,Indonesia,2023 (expected),No,NCT03503058,https://clinicaltrials.gov/ct2/show/NCT03503058
105,PfSPZ-CVac;PfSPZ Vaccine,Active;Active,None;None,PfSPZ-CVac and PfSPZ Vaccine in 1-12 years old African children naturally exposed to malaria parasites,University of Tubingen; Centre de Recherches Médicale de Lambaréné,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,Whole sporozoite;Whole Sporozoite,Whole parasite;Whole parasite,None;None,Intravenous,Ongoing,Phase I,Gabon,2022 (expected),No,PACTR201712002879427,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201712002879427
106,PfSPZ-GA1,Active,,Genetically attenuated PfSPZ-GA1 malaria parasites in healthy Dutch volunteers,Sanaria; University of Leiden; Radboud University,Phase I,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Netherlands,2018,Yes,NCT03163121,https://clinicaltrials.gov/ct2/show/NCT03163121
107,PRIMVAC/Alhydrogel;PRIMVAC/GLA-SE,Active;Active,None;None,Safety and immunogenicity of placental malaria vaccine PRIMVAC in adults in Europe and Burkina Faso (PRIMALVAC),"Institut National de la Santé Et de la Recherche Médicale, France; Recherche Clinique Paris Descartes Necker Cochin Sainte Anne; Centre national de recherche et de formation sur le paludisme; EUCLID Clinical Trial Platform",Phase I;Phase I,P. falciparum;P. falciparum,Blood stage;Blood stage,VAR2CSA;VAR2CSA,Recombinant subunit;Recombinant subunit,Alhydrogel;GLA-SE,Intramuscular,Completed,Phase I,Burkina Faso;France,2019,No,NCT02658253; 	PACTR201610001796177,"https://clinicaltrials.gov/ct2/show/NCT02658253
https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=1796"
108,PvCSP/ISA-51,Active,,Safety and protective efficacy of synthetic PvCSP vaccine in naïve and pre-immune Colombian volunteers,"Malaria Vaccine and Drug Development Center (MVDC), Colombia",Phase II,P. vivax,Pre-erythrocytic stage,PvCSP,Recombinant subunit,Montanide ISA-51,Parenteral,Ongoing,Phase II,Colombia,2022 (expected),Yes,NCT04739917,https://clinicaltrials.gov/ct2/show/NCT04739917
109,PvCSP/ISA-51,Active,,Protective efficacy of synthetic PvCSP vaccine in naïve and pre-immune Colombian volunteers,"Malaria Vaccine and Drug Development Center (MVDC), Colombia",Phase II,P. vivax,Pre-erythrocytic stage,PvCSP,Recombinant subunit,Montanide ISA-51,Intramuscular,Completed,Phase II,Colombia,2017,Yes,NCT02083068,https://clinicaltrials.gov/ct2/show/NCT02083068
110,PvDBP/GLA-SE,Inactive,,Phase I of PvDBPII/ GLA-SE in healthy Indian male subjects,"International Center for Genetic Engineering and Biotechnology (ICGEB), India",Phase I,P. vivax,Blood stage,PvDBP,Recombinant subunit,GLA-SE,Intramuscular,Completed,Phase I,India,2017,No,CTRI/2016/09/007289,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2016/09/007289
111,PvDBP/Matrix M1,Active,,Phase I/IIa of PvDBPII/Matrix M1 in healthy adults in the UK,University of Oxford,Phase II,P. vivax,Blood stage,PvDBP,Recombinant subunit,Matrix M1,Parenteral,Ongoing,Phase I/II,United Kingdom,2022 (expected),Yes,NCT04201431,https://clinicaltrials.gov/ct2/show/NCT04201431
112,Pvs25-IMX313/Matrix-M1,Active,,"Phase Ia study to assess the safety and immunogenicity of the Pvs25-IMX313 vaccine, administered in Matrix-M1 adjuvant in healthy adults in the UK",University of Oxford,Phase I,P. vivax,Sexual stage,Pvs25,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase I,United Kingdom,2022 (expected),No,NCT05270265,https://clinicaltrials.gov/ct2/show/NCT05270265
